plant_number,plant_ID,stress
plant1,Camta1-3/T3,25
plant2,Camta5-5/T3,25
plant3,Camta1-1/T3,25
plant4,Camta5-1/T3,25
plant5,Col-0,25
plant6,Camta1-1/T3,25
plant7,Camta5-1/T3,25
plant8,Camta5-5/T3,25
plant9,Camta1-1/T3,25
plant10,Col-0,25
plant11,Camta5-1/T3,25
plant12,Col-0,25
plant13,Camta5-5/T3,25
plant14,Camta5-1/T3,25
plant15,Camta1-1/T3,25
plant16,Camta5-2/T3,25
plant17,Camta1-3/T3,25
plant18,Camta5-2/T3,25
plant19,Camta5-1/T3,25
plant20,Col-0,25
plant21,Camta5-2/T3,25
plant22,Camta5-1/T3,25
plant23,Camta1-2/T3,25
plant24,Camta5-2/T3,25
