time,plant_number,plant_ID,Area (mm^2),Stress (%),Tray Number
2025-12-09--12-00,plant5,Camta1-3/T3,227.02610766631526,25,2
2025-12-09--12-00,plant6,Camta5-3/T3,182.07580486024614,25,2
2025-12-09--12-00,plant7,Camta5-1/T3,266.34408337379256,25,2
2025-12-09--12-00,plant8,Col-0,609.0495245265699,25,2
2025-12-09--12-00,plant9,Camta5-3/T3,130.7349770769287,25,2
2025-12-09--12-00,plant10,Camta1-3/T3,238.6157038114945,25,2
2025-12-09--12-00,plant11,Camta1-1/T3,591.1777173868076,25,2
2025-12-09--12-00,plant12,Camta5-2/T3,537.1290400368594,25,2
2025-12-09--12-00,plant13,Camta5-2/T3,231.14203900759387,25,2
2025-12-09--12-00,plant14,Camta5-5/T3,406.06912101193507,25,2
2025-12-09--12-00,plant15,Camta5-5/T3,469.9743707844188,25,2
2025-12-09--12-00,plant16,Camta1-1/T3,638.8358697595073,25,2
2025-12-09--12-00,plant17,Camta1-2/T3,197.23976243337788,25,2
2025-12-09--12-00,plant18,Camta1-3/T3,151.20631980065653,25,2
2025-12-09--12-00,plant19,Camta5-1/T3,351.47887374866076,25,2
2025-12-09--13-30,plant5,Camta1-3/T3,232.00855086891568,25,2
2025-12-09--13-30,plant6,Camta5-3/T3,189.2245277161511,25,2
2025-12-09--13-30,plant7,Camta5-1/T3,269.26856090575365,25,2
2025-12-09--13-30,plant8,Col-0,601.2509177746737,25,2
2025-12-09--13-30,plant9,Camta5-3/T3,131.16823300758958,25,2
2025-12-09--13-30,plant10,Camta1-3/T3,239.0489597421554,25,2
2025-12-09--13-30,plant11,Camta1-1/T3,573.6308521950408,25,2
2025-12-09--13-30,plant12,Camta5-2/T3,540.270145534151,25,2
2025-12-09--13-30,plant13,Camta5-2/T3,234.6080864528811,25,2
2025-12-09--13-30,plant14,Camta5-5/T3,409.10191252656136,25,2
2025-12-09--13-30,plant15,Camta5-5/T3,476.256581779002,25,2
2025-12-09--13-30,plant16,Camta1-1/T3,656.1661069859435,25,2
2025-12-09--13-30,plant17,Camta1-2/T3,195.93999464139517,25,2
2025-12-09--13-30,plant18,Camta1-3/T3,151.0980058179913,25,2
2025-12-09--13-30,plant19,Camta5-1/T3,359.2774805005571,25,2
2025-12-09--16-50,plant5,Camta1-3/T3,232.44180679957657,25,2
2025-12-09--16-50,plant6,Camta5-3/T3,187.1665620455118,25,2
2025-12-09--16-50,plant7,Camta5-1/T3,272.40966640304526,25,2
2025-12-09--16-50,plant8,Col-0,614.2485956945009,25,2
2025-12-09--16-50,plant9,Camta5-3/T3,129.86846521560685,25,2
2025-12-09--16-50,plant10,Camta1-3/T3,234.39145848755066,25,2
