time,plant_number,plant_ID,Area (mm^2),Stress (%),Tray Number
2025-12-09--12-00,plant1,Col-0,344.0052089447601,100,1
2025-12-09--12-00,plant2,Camta1-1/T3,198.43121624269537,100,1
2025-12-09--12-00,plant3,Camta1-2/T3,190.52429550813383,100,1
2025-12-09--12-00,plant4,Camta1-3/T3,202.00557767064785,100,1
2025-12-09--12-00,plant5,Camta5-1/T3,415.92569343447065,100,1
2025-12-09--12-00,plant6,Col-0,296.45537055472556,100,1
2025-12-09--12-00,plant7,Camta1-1/T3,327.3248556143152,100,1
2025-12-09--12-00,plant8,Camta1-2/T3,103.98142335861766,100,1
2025-12-09--12-00,plant9,Camta1-3/T3,219.9856987930755,100,1
2025-12-09--12-00,plant10,Camta5-2/T3,624.1051681170364,100,1
2025-12-09--12-00,plant11,Camta5-1/T3,319.74287682774934,100,1
2025-12-09--12-00,plant12,Camta5-5/T3,321.90915648105386,100,1
2025-12-09--12-00,plant13,Camta1-2/T3,494.2367029014296,100,1
2025-12-09--12-00,plant14,Camta5-3/T3,205.90488104659602,100,1
2025-12-09--12-00,plant15,Camta5-4/T3,72.57036838570191,100,1
2025-12-09--12-00,plant16,Camta5-2/T3,550.9932298180084,100,1
2025-12-09--12-00,plant17,Camta1-3/T3,232.22517883424612,100,1
2025-12-09--12-00,plant18,Camta5-1/T3,477.44803558831944,100,1
2025-12-09--12-00,plant19,Camta5-2/T3,404.3360972892914,100,1
2025-12-09--12-00,plant20,Camta5-5/T3,460.11779836188316,100,1
2025-12-09--12-00,plant21,Camta1-1/T3,623.0220282903842,100,1
2025-12-09--12-00,plant22,Camta1-2/T3,80.47728912026346,100,1
2025-12-09--13-30,plant1,Col-0,322.8839823250409,100,1
2025-12-09--13-30,plant2,Camta1-1/T3,188.7912717854902,100,1
2025-12-09--13-30,plant3,Camta1-2/T3,192.25731923077745,100,1
2025-12-09--13-30,plant4,Camta1-3/T3,199.2977281040172,100,1
2025-12-09--13-30,plant5,Camta5-1/T3,399.24534010402573,100,1
2025-12-09--13-30,plant6,Col-0,292.9893231094383,100,1
2025-12-09--13-30,plant7,Camta1-1/T3,324.40037808235405,100,1
2025-12-09--13-30,plant8,Camta1-2/T3,103.87310937595244,100,1
2025-12-09--13-30,plant9,Camta1-3/T3,211.64552212785304,100,1
