old_plant_number,new_name,stress,tray
plant1,plantid,#,Tray1
plant2,plantid,#,Tray1
plant3,plantid,#,Tray1
plant4,plantid,#,Tray1
plant5,plantid,#,Tray1
plant6,plantid,#,Tray1
plant7,plantid,#,Tray1
plant8,plantid,#,Tray1
plant9,plantid,#,Tray1
plant10,plantid,#,Tray1
plant11,plantid,#,Tray1
plant12,plantid,#,Tray1
plant13,plantid,#,Tray1
plant14,plantid,#,Tray1
plant15,plantid,#,Tray1
plant16,plantid,#,Tray1
plant17,plantid,#,Tray1
plant18,plantid,#,Tray1
plant19,plantid,#,Tray1
plant20,plantid,#,Tray1
plant21,plantid,#,Tray1
plant22,plantid,#,Tray1
plant23,plantid,#,Tray1
plant24,plantid,#,Tray1
plant25,plantid,#,Tray2
plant26,plantid,#,Tray2
plant27,plantid,#,Tray2
plant28,plantid,#,Tray2
plant29,plantid,#,Tray2
plant30,plantid,#,Tray2
plant31,plantid,#,Tray2
plant32,plantid,#,Tray2
plant33,plantid,#,Tray2
plant34,plantid,#,Tray2
plant35,plantid,#,Tray2
plant36,plantid,#,Tray2
plant37,plantid,#,Tray2
plant38,plantid,#,Tray2
plant39,plantid,#,Tray2
plant40,plantid,#,Tray2
plant41,plantid,#,Tray2
plant42,plantid,#,Tray2
plant43,plantid,#,Tray2
plant44,plantid,#,Tray2
plant45,plantid,#,Tray2
plant46,plantid,#,Tray2
plant47,plantid,#,Tray2
plant48,plantid,#,Tray2
plant49,plantid,#,Tray3
plant50,plantid,#,Tray3
plant51,plantid,#,Tray3
plant52,plantid,#,Tray3
plant53,plantid,#,Tray3
plant54,plantid,#,Tray3
plant55,plantid,#,Tray3
plant56,plantid,#,Tray3
plant57,plantid,#,Tray3
plant58,plantid,#,Tray3
plant59,plantid,#,Tray3
plant60,plantid,#,Tray3
plant61,plantid,#,Tray3
plant62,plantid,#,Tray3
plant63,plantid,#,Tray3
plant64,plantid,#,Tray3
plant65,plantid,#,Tray3
plant66,plantid,#,Tray3
plant67,plantid,#,Tray3
plant68,plantid,#,Tray3
plant69,plantid,#,Tray3
plant70,plantid,#,Tray3
plant71,plantid,#,Tray3
plant72,plantid,#,Tray3
plant73,plantid,#,Tray4
plant74,plantid,#,Tray4
plant75,plantid,#,Tray4
plant76,plantid,#,Tray4
plant77,plantid,#,Tray4
plant78,plantid,#,Tray4
plant79,plantid,#,Tray4
plant80,plantid,#,Tray4
plant81,plantid,#,Tray4
plant82,plantid,#,Tray4
plant83,plantid,#,Tray4
plant84,plantid,#,Tray4
plant85,plantid,#,Tray4
plant86,plantid,#,Tray4
plant87,plantid,#,Tray4
plant88,plantid,#,Tray4
plant89,plantid,#,Tray4
plant90,plantid,#,Tray4
plant91,plantid,#,Tray4
plant92,plantid,#,Tray4
plant93,plantid,#,Tray4
plant94,plantid,#,Tray4
plant95,plantid,#,Tray4
plant96,plantid,#,Tray4
plant97,plantid,#,Tray5
plant98,plantid,#,Tray5
plant99,plantid,#,Tray5
plant100,plantid,#,Tray5
plant101,plantid,#,Tray5
plant102,plantid,#,Tray5
plant103,plantid,#,Tray5
plant104,plantid,#,Tray5
plant105,plantid,#,Tray5
plant106,plantid,#,Tray5
plant107,plantid,#,Tray5
plant108,plantid,#,Tray5
plant109,plantid,#,Tray5
plant110,plantid,#,Tray5
plant111,plantid,#,Tray5
plant112,plantid,#,Tray5
plant113,plantid,#,Tray5
plant114,plantid,#,Tray5
plant115,plantid,#,Tray5
plant116,plantid,#,Tray5
plant117,plantid,#,Tray5
plant118,plantid,#,Tray5
plant119,plantid,#,Tray5
plant120,plantid,#,Tray5
plant121,plantid,#,Tray6
plant122,plantid,#,Tray6
plant123,plantid,#,Tray6
plant124,plantid,#,Tray6
plant125,plantid,#,Tray6
plant126,plantid,#,Tray6
plant127,plantid,#,Tray6
plant128,plantid,#,Tray6
plant129,plantid,#,Tray6
plant130,plantid,#,Tray6
plant131,plantid,#,Tray6
plant132,plantid,#,Tray6
plant133,plantid,#,Tray6
plant134,plantid,#,Tray6
plant135,plantid,#,Tray6
plant136,plantid,#,Tray6
plant137,plantid,#,Tray6
plant138,plantid,#,Tray6
plant139,plantid,#,Tray6
plant140,plantid,#,Tray6
plant141,plantid,#,Tray6
plant142,plantid,#,Tray6
plant143,plantid,#,Tray6
plant144,plantid,#,Tray6
