time,plant_number,plant_name,stress_level (%),Area (mm^2)
2025-10-27--11-19-00,plant1,Col-0,25,103.27551872954643
2025-10-27--11-19-00,plant2,Col-0,25,174.3899401845062
2025-10-27--11-19-00,plant3,Col-0,25,139.14028977926165
2025-10-27--10-52-38,plant1,Salk-080561c,100,452.6575698347249
2025-10-27--10-52-38,plant2,Salk-080561c,100,452.1525234108437
2025-10-27--10-52-38,plant3,Salk-080561c,100,387.76557932014714
2025-10-27--10-52-38,plant4,Salk-080561c,100,615.6256908945339
2025-10-27--10-55-46,plant1,Salk-080561c,25,109.24542645798793
2025-10-27--10-55-46,plant2,Salk-080561c,25,140.51945501370636
2025-10-27--10-55-46,plant3,Salk-080561c,25,114.16639161375315
2025-10-27--10-55-46,plant4,Salk-080561c,25,156.82338956925483
2025-10-27--10-56-54,plant1,Salk-080561c,100,440.39400667022574
2025-10-27--10-56-54,plant2,Salk-080561c,100,440.5235057532722
2025-10-27--10-56-54,plant3,Salk-080561c,100,395.11465228303337
2025-10-27--10-56-54,plant4,Salk-080561c,100,467.5240645684577
2025-10-27--11-00-13,plant1,Salk-080561c,25,130.48327607760626
2025-10-27--11-00-13,plant2,Salk-080561c,25,155.89099617132038
2025-10-27--11-00-13,plant3,Salk-080561c,25,156.31834314537366
2025-10-27--11-00-13,plant4,Salk-080561c,25,147.56420513143343
2025-10-27--11-01-09,plant1,Col-0,25,170.12294539812558
2025-10-27--11-01-09,plant2,Col-0,25,205.10064772897258
2025-10-27--11-01-09,plant3,Col-0,25,190.79099905233952
2025-10-27--11-01-09,plant4,Col-0,25,163.1558947302264
2025-10-27--11-05-15,plant1,Salk-203144,25,176.85042276238883
2025-10-27--11-05-15,plant2,Salk-203144,25,198.74871770554407
2025-10-27--11-05-15,plant3,Salk-203144,25,115.39663290269445
2025-10-27--11-05-15,plant4,Salk-203144,25,170.3560437476092
2025-10-27--11-05-52,plant1,Salk-056202c,25,167.12504162560018
2025-10-27--11-05-52,plant2,Salk-056202c,25,112.02318178933434
2025-10-27--11-05-52,plant3,Salk-056202c,25,172.57047806770353
2025-10-27--11-05-52,plant4,Salk-056202c,25,115.13115978244922
2025-10-27--11-08-23,plant1,Salk-098896,25,224.60968458992076
2025-10-27--11-08-23,plant2,Salk-098896,25,141.45832336579315
2025-10-27--11-08-23,plant3,Salk-098896,25,177.0446713869585
2025-10-27--11-08-23,plant4,Salk-098896,25,114.83331189144238
2025-10-27--11-10-19,plant1,Salk-002822c,25,117.47509318559003
2025-10-27--11-10-19,plant2,Salk-002822c,25,141.77559611925696
2025-10-27--11-10-19,plant3,Salk-002822c,25,135.74741380344457
2025-10-27--11-10-19,plant4,Salk-002822c,25,67.01577547653953
2025-10-27--11-10-42,plant1,Col-0,25,163.2141693175973
2025-10-27--11-10-42,plant2,Col-0,25,114.95633602033651
2025-10-27--11-10-42,plant3,Col-0,25,104.30503643976573
2025-10-27--11-10-42,plant4,Col-0,25,107.85331131523856
2025-10-27--11-12-04,plant1,Salk-052070,25,114.30236565095193
2025-10-27--11-12-04,plant2,Salk-052070,25,218.45847814521423
2025-10-27--11-12-04,plant3,Salk-052070,25,179.54400368975504
2025-10-27--11-12-04,plant4,Salk-052070,25,143.46555915301317
2025-10-27--11-12-36,plant1,Salk-052070,100,624.833076
2025-10-27--11-12-36,plant2,Salk-052070,100,345.043832
2025-10-27--11-12-36,plant3,Salk-052070,100,445.53512
2025-10-27--11-12-36,plant4,Salk-052070,100,317.479952
2025-10-27--11-13-20,plant1,Salk-203144,100,485.12298995447065
2025-10-27--11-13-20,plant2,Salk-203144,100,400.1327417510834
2025-10-27--11-13-20,plant3,Salk-203144,100,512.0717491364376
2025-10-27--11-13-20,plant4,Salk-203144,100,363.0377294124269
2025-10-27--11-14-01,plant1,Salk-052070,100,747.9090042264859
2025-10-27--11-14-01,plant2,Salk-052070,100,562.3368182209184
2025-10-27--11-14-01,plant3,Salk-052070,100,564.8296755695626
2025-10-27--11-14-01,plant4,Salk-052070,100,334.10115930569697
2025-10-27--11-15-08,plant1,Salk-052070,25,180.54114662921273
2025-10-27--11-15-08,plant2,Salk-052070,25,98.71067605215896
2025-10-27--11-15-08,plant3,Salk-052070,25,180.47639708768952
2025-10-27--11-15-08,plant4,Salk-052070,25,196.41125925655558
2025-10-27--11-18-15,plant1,Salk-056202c,100,316.53460869044557
2025-10-27--11-18-15,plant2,Salk-056202c,100,365.47878712785257
2025-10-27--11-18-15,plant3,Salk-056202c,100,505.0399489270152
2025-10-27--11-18-15,plant4,Salk-056202c,100,792.9293604475853
2025-10-27--11-21-07,plant1,Salk-50.E01.1,100,430.42257727564885
2025-10-27--11-21-07,plant2,Salk-50.E01.1,100,356.35557672722996
2025-10-27--11-21-07,plant3,Salk-50.E01.1,100,406.2968981040946
2025-10-27--11-21-07,plant4,Salk-50.E01.1,100,472.57452880726936
2025-10-27--11-21-56,plant1,Salk-50.E01.1,25,159.82129334178023
2025-10-27--11-21-56,plant2,Salk-50.E01.1,25,193.8148026414742
2025-10-27--11-21-56,plant3,Salk-50.E01.1,25,191.16654639317423
2025-10-27--11-21-56,plant4,Salk-50.E01.1,25,190.16940345371654
2025-10-27--11-22-59,plant1,Salk-50.E01.1,100,464.6297600623695
2025-10-27--11-22-59,plant2,Salk-50.E01.1,100,439.7853609799074
2025-10-27--11-22-59,plant3,Salk-50.E01.1,100,358.4987865516487
2025-10-27--11-22-59,plant4,Salk-50.E01.1,100,559.5072632563534
2025-10-27--11-24-11,plant1,Col-0,25,117.20314511119247
2025-10-27--11-24-11,plant2,Col-0,25,88.64212234529722
2025-10-27--11-24-11,plant3,Col-0,25,131.95309067018349
2025-10-27--11-24-11,plant4,Col-0,25,142.85043850854254
2025-10-27--11-25-53,plant1,Salk-50.E01.1,25,182.0174361759423
2025-10-27--11-25-53,plant2,Salk-50.E01.1,25,185.64988545539532
2025-10-27--11-25-53,plant3,Salk-50.E01.1,25,202.80203900489803
2025-10-27--11-25-53,plant4,Salk-50.E01.1,25,166.30919740240753
2025-10-27--11-28-32,plant1,Col-0,25,87.70972894736276
2025-10-27--11-28-32,plant2,Col-0,25,118.7830339243592
2025-10-27--11-28-32,plant3,Col-0,25,134.05097581553605
2025-10-27--11-28-32,plant4,Col-0,25,227.1090168927173
2025-10-27--11-29-07,plant1,Salk-102761c,25,132.866059205661
2025-10-27--11-29-07,plant2,Salk-102761c,25,175.5813317485336
2025-10-27--11-29-07,plant3,Salk-102761c,25,267.38323172016425
2025-10-27--11-29-07,plant4,Salk-102761c,25,229.6795736911894
2025-10-27--11-30-35,plant1,Col-0,100,380.8827030562282
2025-10-27--11-30-35,plant2,Col-0,100,340.92576098224504
2025-10-27--11-30-35,plant3,Col-0,100,387.13750876737186
2025-10-27--11-30-35,plant4,Col-0,100,355.313109108706
2025-10-27--11-30-59,plant1,Col-0,100,414.79203795194195
2025-10-27--11-30-59,plant2,Col-0,100,420.412298156158
2025-10-27--11-30-59,plant3,Col-0,100,499.68516184304434
2025-10-27--11-30-59,plant4,Col-0,100,366.4888799756149
2025-10-27--11-31-24,plant1,Col-0,100,349.2201772513704
2025-10-27--11-31-24,plant2,Col-0,100,383.5244843503758
2025-10-27--11-31-24,plant3,Col-0,100,400.2492909258252
2025-10-27--11-31-24,plant4,Col-0,100,331.50470269061555
2025-10-27--11-15-41,plant1,SailSeq-201-G03.1,25,146.4699378796909
2025-10-27--11-15-41,plant2,SailSeq-201-G03.1,25,140.03383345228218
2025-10-27--11-15-41,plant3,SailSeq-201-G03.1,25,193.3032812634407
2025-10-27--11-15-41,plant4,SailSeq-201-G03.1,25,155.35357497667758
2025-10-27--11-04-06,plant1,SailSeq-201-G03.1,100,501.3168502894297
2025-10-27--11-04-06,plant2,SailSeq-201-G03.1,100,436.5543588578984
2025-10-27--11-04-06,plant3,SailSeq-201-G03.1,100,398.9348752329037
2025-10-27--11-04-06,plant4,SailSeq-201-G03.1,100,420.61302173488
2025-10-27--11-33-35,plant1,SailSeq-201-G03.1,25,110.11954526855149
2025-10-27--11-33-35,plant2,SailSeq-201-G03.1,25,129.74513130424145
2025-10-27--11-33-35,plant3,SailSeq-201-G03.1,25,155.80682176734018
2025-10-27--11-33-35,plant4,SailSeq-201-G03.1,25,104.09783790689141
2025-10-27--10-58-48,plant1,SailSeq-201-G03.1,25,207.85897819786203
2025-10-27--10-58-48,plant2,SailSeq-201-G03.1,25,180.78071993284868
2025-10-27--10-58-48,plant3,SailSeq-201-G03.1,25,183.16997801505573
2025-10-27--10-58-48,plant4,SailSeq-201-G03.1,25,177.32309441550836
2025-10-27--11-04-32,plant1,SailSeq-201-G03.1,100,642.1730029190568
2025-10-27--11-04-32,plant2,SailSeq-201-G03.1,100,505.9270176458834
2025-10-27--11-04-32,plant3,SailSeq-201-G03.1,100,652.2868813049848
2025-10-27--11-04-32,plant4,SailSeq-201-G03.1,100,665.2108897930208
2025-10-27--11-17-31,plant1,SailSeq-201-G03.1,100,499.5621377141502
